Accession,Height
PI156018,0.440909082065218
PI92270,0.45484486000851
PI329310,0.631443769013172
PI569443,0.403120521175818
PI152728,0.484299839346786
PI330185,0.697229342759718
PI656015,0.123851640967086
PI154844,0.595496221825574
PI455217,0.640481436970422
PI535794,0.184691430817599
PI157804,0.472756449317212
PI300119,0.501059262217751
PI562985,0.409933123331295
PI569452,0.0128372247051722
PI152694,0.382017042574868
PI585577,0.60530504614111
PI569446,0.363611979892144
PI562732,0.6232492903979
PI563332,0.694605198933569
PI329511,0.565847818673518
PI569421,-0.0506099933550872
PI251672,0.492760389026838
PI550604,0.184691430817599
PI569097,0.550228353055094
PI576399,0.409933123331295
PI156203,0.528916700277655
PI643016,0.562292864456475
PI329584,0.587710965018911
PI154844,0.557507201905658
PI526905,0.0791812460476248
PI329570,0.540329474790874
PI329256,0.492760389026838
PI156203,0.340444114840118
PI643016,0.595496221825574
PI152963,0.361727836017593
PI569097,0.600972895686748
PI452544,0.525044807036845
PI329403,0.612783856719736
PI329570,0.442479769064449
PI533998,0.0374264979406237
PI329843,0.535294120042771
PI181083,0.303196057420489
PI569443,0.359835482339888
PI152728,0.547774705387823
PI152694,0.392696953259666
PI297155,0.352182518111363
PI329310,0.632457292184724
PI570109,0.235528446907549
PI156487,0.434568904034199
PI297155,0.330413773349191
PI656015,0.278753600952829
PI330196,0.502427119984433
PI569421,0.0453229787866575
PI642998,0.511883360978874
PI92270,0.480006942957151
PI300119,0.528916700277655
PI569148,0.614897216033135
PI329569,0.501059262217751
PI585577,0.431363764158987
PI156268,0.603144372620182
PI330168,0.54282542695918
PI181899,0.324282455297693
PI329301,0.634477270160732
PI330185,0.640481436970422
PI52606,0.390935107103379
PI157804,0.419955748489758
PI455217,0.620136054973758
PI576399,0.374748346010104
PI535794,0.113943352306837
PI251672,0.472756449317212
PI156018,0.418301291319745
PI569452,0.636487896353365
PI569422,0.482873583608754
PI329519,0.628388930050312
PI521290,0.626340367375042
PI533792,-0.142667503568732
PI593916,0.0644579892269185
PI562985,0.389166084364533
PI330181,0.619093330626743
PI569446,0.330413773349191
PI526905,0.0863598306747482
PI540518,0.301029995663981
PI569427,0.414973347970818
PI542718,0.453318340047038
PI563330,0.66838591669
PI570145,0.551449997972875
PI329511,0.681241237375587
PI550604,0.238046103128795
PI619838,0.432969290874406
PI562970,0.54282542695918
PI561840,0.0827853703164501
PI329710,0.654176541877961
PI329702,0.718501688867274
PI329665,0.551449997972875
PI569423,0.423245873936808
PI156393,0.546542663478131
PI154844,0.599883072073688
PI452692,0.620136054973758
PI329584,0.606381365110605
PI329617,0.600972895686748
PI154844,0.576341350205793
PI563332,0.658011396657112
PI196049,0.715167357848458
PI562732,0.60530504614111
PI563329,0.577491799837225
PI329841,0.643452676486187
